iteration,official_year,ceremony_date,category_group,category,official_name,common_name,nomination_id,statement,pending,winner,official,stat,statement_name,statement_ind,entity_imdb_id,entity_type,name,title_imdb_id,title,detail,title_winner,note
2,1928/29,1930-04-03,Production Design,Production Design,ART DIRECTION,Best Art Direction,52,Mitchell Leisen,False,False,False,False,Mitchell Leisen,0,nm0500552,person,Mitchell Leisen,tt0019843,Dynamite,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Production Design,Production Design,ART DIRECTION,Best Art Direction,53,William Cameron Menzies,False,False,False,False,William Cameron Menzies,0,nm0580017,person,William Cameron Menzies,tt0018666,The Awakening,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Production Design,Production Design,ART DIRECTION,Best Art Direction,53,William Cameron Menzies,False,False,False,False,William Cameron Menzies,0,nm0580017,person,William Cameron Menzies,tt0019630,Alibi,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Production Design,Production Design,ART DIRECTION,Best Art Direction,54,Harry Oliver,False,False,False,False,Harry Oliver,0,nm0646856,person,Harry Oliver,tt0019429,Street Angel,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,65,Hans Kraly,False,True,False,False,Hans Kraly,0,nm0473134,person,Hans Kraly,tt0019257,The Patriot,[],True,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,66,Tom Barry,False,False,False,False,Tom Barry,0,nm0058179,person,Tom Barry,tt0020543,The Valiant,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,66,Tom Barry,False,False,False,False,Tom Barry,0,nm0058179,person,Tom Barry,tt0020018,In Old Arizona,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,67,Elliott Clawson,False,False,False,False,Elliott Clawson,0,nm0165470,person,Elliott Clawson,tt0019348,Sal of Singapore,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,67,Elliott Clawson,False,False,False,False,Elliott Clawson,0,nm0165470,person,Elliott Clawson,tt0018792,The Cop,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,67,Elliott Clawson,False,False,False,False,Elliott Clawson,0,nm0165470,person,Elliott Clawson,tt0019398,Skyscraper,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,67,Elliott Clawson,False,False,False,False,Elliott Clawson,0,nm0165470,person,Elliott Clawson,tt0020088,The Leatherneck,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,68,Hans Kraly,False,False,False,False,Hans Kraly,0,nm0473134,person,Hans Kraly,tt0020081,The Last of Mrs. Cheyney,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Writing,Screenplay,WRITING,Best Writing,69,Josephine Lovett,False,False,False,False,Josephine Lovett,0,nm0522674,person,Josephine Lovett,tt0019237,Our Dancing Daughters,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
